id,job_title,Cards_titles,Ratings,Reviews,Salaries,Jobs_count,logo,url
0,Data Analyst,Telstra,4,5K,115K,166,https://media.glassdoor.com/sql/6563/telstra-squareLogo-1689913293501.png,"https://www.glassdoor.com.au/Overview/Working-at-Telstra-EI_IE6563.11,18.htm"
1,Data Analyst,NAB,3.7,4.6K,90K,119,https://media.glassdoor.com/sql/4262/national-australia-bank-squarelogo-1618838757130.png,"https://www.glassdoor.com.au/Overview/Working-at-NAB-National-Australia-Bank-EI_IE4262.11,38.htm"
2,Data Analyst,ANZ,3.9,5.8K,110K,191,https://media.glassdoor.com/sql/5782/anz-squareLogo-1716336044712.png,"https://www.glassdoor.com.au/Overview/Working-at-ANZ-EI_IE5782.11,14.htm"
3,Data Analyst,Commonwealth Bank of Australia,3.9,7.4K,100K,552,https://media.glassdoor.com/sql/7922/commonwealth-bank-of-australia-squarelogo-1603344370848.png,"https://www.glassdoor.com.au/Overview/Working-at-Commonwealth-Bank-of-Australia-EI_IE7922.11,41.htm"
4,Data Analyst,Westpac Group,3.7,3.9K,113K,251,https://media.glassdoor.com/sql/5769/westpac-group-squareLogo-1616646560666.png,"https://www.glassdoor.com.au/Overview/Working-at-Westpac-Group-EI_IE5769.11,24.htm"
5,Data Analyst,EY,3.4,96.7K,89K,9.2K,https://media.glassdoor.com/sql/2784/ey-squareLogo-1689166016078.png,"https://www.glassdoor.com.au/Overview/Working-at-EY-EI_IE2784.11,13.htm"
6,Data Analyst,Deloitte,3.9,128.1K,75K,28.4K,https://media.glassdoor.com/sql/2763/deloitte-squareLogo-1674210308592.png,"https://www.glassdoor.com.au/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm"
7,Data Analyst,Macquarie Group,3.8,4.7K,109.5K,534,https://media.glassdoor.com/sql/12088/macquarie-group-squareLogo-1684797770187.png,"https://www.glassdoor.com.au/Overview/Working-at-Macquarie-Group-EI_IE12088.11,26.htm"
8,Data Analyst,Quantium,4.1,408,100.5K,--,https://media.glassdoor.com/sql/473233/quantium-squarelogo-1521840068846.png,"https://www.glassdoor.com.au/Overview/Working-at-Quantium-EI_IE473233.11,19.htm"
9,Data Analyst,KPMG,3.3,70.9K,81.5K,11.5K,https://media.glassdoor.com/sql/2867/kpmg-squareLogo-1724938664417.png,"https://www.glassdoor.com.au/Overview/Working-at-KPMG-EI_IE2867.11,15.htm"
0,Software Engineer,Atlassian,3.7,3K,175K,301,https://media.glassdoor.com/sql/115699/atlassian-squarelogo-1505156989127.png,"https://www.glassdoor.com.au/Overview/Working-at-Atlassian-EI_IE115699.11,20.htm"
1,Software Engineer,Amazon,3.6,216.4K,149K,24.5K,https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png,"https://www.glassdoor.com.au/Overview/Working-at-Amazon-EI_IE6036.11,17.htm"
2,Software Engineer,Google,4.3,58K,150K,4.7K,https://media.glassdoor.com/sql/9079/google-squarelogo-1441130773284.png,"https://www.glassdoor.com.au/Overview/Working-at-Google-EI_IE9079.11,17.htm"
3,Software Engineer,Accenture,3.9,188K,90K,86.1K,https://media.glassdoor.com/sql/4138/accenture-squareLogo-1709650590794.png,"https://www.glassdoor.com.au/Overview/Working-at-Accenture-EI_IE4138.11,20.htm"
4,Software Engineer,Commonwealth Bank of Australia,3.9,7.4K,116.5K,552,https://media.glassdoor.com/sql/7922/commonwealth-bank-of-australia-squarelogo-1603344370848.png,"https://www.glassdoor.com.au/Overview/Working-at-Commonwealth-Bank-of-Australia-EI_IE7922.11,41.htm"
5,Software Engineer,NAB,3.7,4.6K,95K,119,https://media.glassdoor.com/sql/4262/national-australia-bank-squarelogo-1618838757130.png,"https://www.glassdoor.com.au/Overview/Working-at-NAB-National-Australia-Bank-EI_IE4262.11,38.htm"
6,Software Engineer,Infosys,3.7,112.9K,85K,2.7K,https://media.glassdoor.com/sql/7927/infosys-squareLogo-1620208556721.png,"https://www.glassdoor.com.au/Overview/Working-at-Infosys-EI_IE7927.11,18.htm"
7,Software Engineer,Macquarie Group,3.8,4.7K,112K,534,https://media.glassdoor.com/sql/12088/macquarie-group-squareLogo-1684797770187.png,"https://www.glassdoor.com.au/Overview/Working-at-Macquarie-Group-EI_IE12088.11,26.htm"
8,Software Engineer,IBM,4,119.9K,104.5K,5.2K,https://media.glassdoor.com/sql/354/ibm-squareLogo-1680100245029.png,"https://www.glassdoor.com.au/Overview/Working-at-IBM-EI_IE354.11,14.htm"
9,Software Engineer,Tata Consultancy Services,3.7,156.1K,95K,671,https://media.glassdoor.com/sql/13461/tata-consultancy-services-squareLogo-1715076690903.png,"https://www.glassdoor.com.au/Overview/Working-at-Tata-Consultancy-Services-EI_IE13461.11,36.htm"
0,Lawyer,PwC,3.6,90.7K,94.5K,22.6K,https://media.glassdoor.com/sql/8450/pwc-squareLogo-1710175827241.png,"https://www.glassdoor.com.au/Overview/Working-at-PwC-EI_IE8450.11,14.htm"
1,Lawyer,Ashurst,4,490,115K,160,https://media.glassdoor.com/sql/36655/ashurst-squareLogo-1707283160585.png,"https://www.glassdoor.com.au/Overview/Working-at-Ashurst-EI_IE36655.11,18.htm"
2,Lawyer,MinterEllison,3.9,281,95K,50,https://media.glassdoor.com/sql/503740/minterellison-squareLogo-1615948376728.png,"https://www.glassdoor.com.au/Overview/Working-at-MinterEllison-EI_IE503740.11,24.htm"
