,Location,Value,Title,Category,company,longitude,latitude
0,Australia,793,Data Analyst,Where they live,Telstra,,
1,"Victoria, Australia",511,Data Analyst,Where they live,Telstra,,
2,Greater Melbourne Area,489,Data Analyst,Where they live,Telstra,,
3,"Melbourne, VIC",481,Data Analyst,Where they live,Telstra,,
4,India,162,Data Analyst,Where they live,Telstra,,
5,"New South Wales, Australia",150,Data Analyst,Where they live,Telstra,,
6,Greater Sydney Area,138,Data Analyst,Where they live,Telstra,,
7,"Sydney, NSW",135,Data Analyst,Where they live,Telstra,,
8,"Karnataka, India",85,Data Analyst,Where they live,Telstra,,
9,Greater Bengaluru Area,84,Data Analyst,Where they live,Telstra,,
10,Bengaluru,82,Data Analyst,Where they live,Telstra,,
11,"Queensland, Australia",56,Data Analyst,Where they live,Telstra,,
12,Greater Brisbane Area,48,Data Analyst,Where they live,Telstra,,
13,"Brisbane, QLD",47,Data Analyst,Where they live,Telstra,,
14,Philippines,35,Data Analyst,Where they live,Telstra,,
0,Monash University,93,Data Analyst,Where they studied,Telstra,145.133607,-37.91063
1,RMIT University,65,Data Analyst,Where they studied,Telstra,144.9639,-37.8083
2,University of Technology Sydney,49,Data Analyst,Where they studied,Telstra,151.200549,-33.883964
3,University of Melbourne,48,Data Analyst,Where they studied,Telstra,144.9628925,-37.798269
4,Swinburne University of Technology,44,Data Analyst,Where they studied,Telstra,110.357014,1.532147
5,Deakin University,33,Data Analyst,Where they studied,Telstra,145.114309,-37.846971
6,UNSW,27,Data Analyst,Where they studied,Telstra,151.227939,-33.917226
7,La Trobe University,23,Data Analyst,Where they studied,Telstra,145.0482135,-37.7212385
8,University of Sydney,19,Data Analyst,Where they studied,Telstra,151.1868,-33.8884
9,Victoria University,18,Data Analyst,Where they studied,Telstra,144.899006,-37.7993545
10,TAFE NSW,16,Data Analyst,Where they studied,Telstra,151.199666,-33.882324
11,Macquarie University,14,Data Analyst,Where they studied,Telstra,151.112474,-33.7750065
12,University of South Australia,13,Data Analyst,Where they studied,Telstra,138.591758,-34.922619
13,CQUniversity,13,Data Analyst,Where they studied,Telstra,150.518641,-23.3212855
14,University of Mumbai,11,Data Analyst,Where they studied,Telstra,72.857448,19.0715075
0,Business Analysis,364,Data Analyst,What they are skilled at,Telstra,,
1,SQL,360,Data Analyst,What they are skilled at,Telstra,,
2,Data Analysis,338,Data Analyst,What they are skilled at,Telstra,,
3,Project Management,286,Data Analyst,What they are skilled at,Telstra,,
4,Stakeholder Management,249,Data Analyst,What they are skilled at,Telstra,,
5,Microsoft Excel,247,Data Analyst,What they are skilled at,Telstra,,
6,Analytical Skills,237,Data Analyst,What they are skilled at,Telstra,,
7,Management,215,Data Analyst,What they are skilled at,Telstra,,
8,Requirements Analysis,215,Data Analyst,What they are skilled at,Telstra,,
9,Agile Methodologies,208,Data Analyst,What they are skilled at,Telstra,,
10,Telecommunications,207,Data Analyst,What they are skilled at,Telstra,,
11,Python,206,Data Analyst,What they are skilled at,Telstra,,
12,Microsoft Office,196,Data Analyst,What they are skilled at,Telstra,,
13,Microsoft Power BI,196,Data Analyst,What they are skilled at,Telstra,,
14,Business Intelligence (BI),189,Data Analyst,What they are skilled at,Telstra,,
0,Information Technology,173,Data Analyst,What they studied,Telstra,,
1,Computer Science,85,Data Analyst,What they studied,Telstra,,
2,Computational Science,65,Data Analyst,What they studied,Telstra,,
3,Data Science,55,Data Analyst,What they studied,Telstra,,
4,Business/Commerce,53,Data Analyst,What they studied,Telstra,,
5,Electrical and Electronics Engineering,46,Data Analyst,What they studied,Telstra,,
6,Data Analytics,38,Data Analyst,What they studied,Telstra,,
7,Finance,36,Data Analyst,What they studied,Telstra,,
8,Marketing,36,Data Analyst,What they studied,Telstra,,
9,Accounting,34,Data Analyst,What they studied,Telstra,,
10,Management Information Systems,34,Data Analyst,What they studied,Telstra,,
11,Electrical and Electronics Engineering,33,Data Analyst,What they studied,Telstra,,
12,Computer Systems Networking,32,Data Analyst,What they studied,Telstra,,
13,Computer Engineering,25,Data Analyst,What they studied,Telstra,,
14,Economics,24,Data Analyst,What they studied,Telstra,,
0,Australia,1319,Data Analyst,Where they live,NAB,,
1,"Victoria, Australia",1089,Data Analyst,Where they live,NAB,,
2,Greater Melbourne Area,1053,Data Analyst,Where they live,NAB,,
3,"Melbourne, VIC",1045,Data Analyst,Where they live,NAB,,
4,India,170,Data Analyst,Where they live,NAB,,
5,"New South Wales, Australia",168,Data Analyst,Where they live,NAB,,
6,Greater Sydney Area,162,Data Analyst,Where they live,NAB,,
7,"Sydney, NSW",161,Data Analyst,Where they live,NAB,,
8,Greater Delhi Area,134,Data Analyst,Where they live,NAB,,
9,"Haryana, India",80,Data Analyst,Where they live,NAB,,
10,"Delhi, India",53,Data Analyst,Where they live,NAB,,
11,New Delhi,30,Data Analyst,Where they live,NAB,,
12,"Queensland, Australia",23,Data Analyst,Where they live,NAB,,
13,"Werribee South, VIC",19,Data Analyst,Where they live,NAB,,
14,"Brisbane, QLD",19,Data Analyst,Where they live,NAB,,
0,Monash University,182,Data Analyst,Where they studied,NAB,145.133607,-37.91063
1,RMIT University,137,Data Analyst,Where they studied,NAB,144.9639,-37.8083
2,University of Melbourne,131,Data Analyst,Where they studied,NAB,144.9628925,-37.798269
3,Swinburne University of Technology,88,Data Analyst,Where they studied,NAB,110.357014,1.532147
4,Deakin University,63,Data Analyst,Where they studied,NAB,145.114309,-37.846971
5,FINSIA,61,Data Analyst,Where they studied,NAB,-99.055044,19.370384
6,La Trobe University,56,Data Analyst,Where they studied,NAB,145.0482135,-37.7212385
7,Victoria University,47,Data Analyst,Where they studied,NAB,144.899006,-37.7993545
8,Melbourne Business School,31,Data Analyst,Where they studied,NAB,144.961126,-37.801423
9,University of Technology Sydney,24,Data Analyst,Where they studied,NAB,151.200549,-33.883964
10,UNSW,22,Data Analyst,Where they studied,NAB,151.227939,-33.917226
11,Jawaharlal Nehru Technological University,21,Data Analyst,Where they studied,NAB,82.240758,16.9794775
